Fecha,Categoría,Región,Cliente,Ventas,Cantidad,Descuento,Subcategoría
2034-10-02,Bebidas,Sucursal Norte,Cliente Ocasional,2607,47,20,Refrescos
2037-05-05,Carnes,Sucursal Centro,Corporativo,1228,30,5,Pollo
2030-12-29,Alimentos,Sucursal Sur,Corporativo,4851,17,0,Frescos
2024-11-19,Carnes,Sucursal Este,Cliente Frecuente,3489,47,15,Pollo
2033-04-27,Alimentos,Sucursal Oeste,Corporativo,2297,42,15,Congelados
2032-09-07,Carnes,Sucursal Centro,Cliente Frecuente,1473,7,10,Res
2037-11-04,Bebidas,Sucursal Este,Mayorista,4940,20,20,Jugos
2024-05-30,Lácteos,Sucursal Centro,Cliente Ocasional,4068,17,15,Yogurt
2022-12-12,Bebidas,Sucursal Este,Corporativo,651,49,5,Jugos
2022-12-05,Alimentos,Sucursal Centro,Cliente Ocasional,988,23,5,Frescos
2034-08-27,Limpieza,Sucursal Oeste,Corporativo,2792,11,5,Detergentes
2030-07-09,Bebidas,Sucursal Centro,Cliente Ocasional,4907,17,10,Jugos
2030-05-08,Lácteos,Sucursal Centro,Corporativo,4867,47,10,Leche
2034-01-27,Lácteos,Sucursal Este,Cliente Ocasional,2253,5,5,Yogurt
2034-09-13,Panadería,Sucursal Este,Corporativo,850,22,10,Pan
2037-10-15,Limpieza,Sucursal Sur,Corporativo,1240,36,5,Desinfectantes
2025-07-02,Carnes,Sucursal Este,Mayorista,4193,20,10,Pollo
2026-05-28,Carnes,Sucursal Norte,Corporativo,897,13,20,Pescado
2031-04-17,Panadería,Sucursal Este,Corporativo,3054,49,20,Pan
2023-09-28,Limpieza,Sucursal Centro,Cliente Ocasional,4240,46,0,Detergentes
2033-02-19,Alimentos,Sucursal Centro,Cliente Ocasional,4328,7,5,Congelados
2025-02-23,Lácteos,Sucursal Centro,Cliente Frecuente,2265,11,10,Leche
2037-04-06,Carnes,Sucursal Oeste,Mayorista,912,26,10,Pollo
2027-10-18,Lácteos,Sucursal Centro,Cliente Frecuente,1329,49,0,Quesos
2026-10-16,Limpieza,Sucursal Oeste,Cliente Frecuente,662,13,15,Desinfectantes
2038-05-22,Alimentos,Sucursal Norte,Corporativo,4057,17,15,Congelados
2025-05-16,Lácteos,Sucursal Este,Cliente Frecuente,2826,21,20,Yogurt
2033-10-11,Panadería,Sucursal Centro,Cliente Frecuente,4215,31,5,Pan
2031-08-30,Panadería,Sucursal Norte,Cliente Frecuente,4308,40,0,Pasteles
2029-01-09,Bebidas,Sucursal Oeste,Cliente Frecuente,4513,44,5,Jugos
2025-12-23,Carnes,Sucursal Sur,Corporativo,2143,46,0,Pescado
2034-03-29,Limpieza,Sucursal Sur,Mayorista,882,18,20,Detergentes
2034-11-22,Bebidas,Sucursal Centro,Cliente Ocasional,2418,4,20,Jugos
2024-06-05,Alimentos,Sucursal Oeste,Cliente Ocasional,2921,11,20,Enlatados
2027-01-07,Carnes,Sucursal Sur,Corporativo,1259,13,15,Res
2032-05-02,Alimentos,Sucursal Oeste,Cliente Frecuente,3550,5,5,Enlatados
2025-07-05,Lácteos,Sucursal Centro,Cliente Ocasional,68,49,20,Leche
2035-08-24,Limpieza,Sucursal Sur,Cliente Frecuente,4196,23,5,Detergentes
2034-10-11,Panadería,Sucursal Este,Corporativo,2966,9,20,Galletas
2031-11-30,Lácteos,Sucursal Norte,Corporativo,3835,39,0,Yogurt
2024-03-22,Lácteos,Sucursal Oeste,Cliente Ocasional,2979,40,15,Leche
2034-01-11,Panadería,Sucursal Este,Cliente Ocasional,3486,15,5,Galletas
2023-05-05,Panadería,Sucursal Norte,Cliente Ocasional,3682,2,5,Pan
2024-02-04,Alimentos,Sucursal Este,Cliente Frecuente,4184,19,10,Enlatados
2030-09-14,Alimentos,Sucursal Sur,Mayorista,1700,46,0,Congelados
2028-01-29,Alimentos,Sucursal Norte,Corporativo,203,7,10,Frescos
2036-08-03,Limpieza,Sucursal Centro,Cliente Frecuente,4814,11,0,Desinfectantes
2027-01-31,Panadería,Sucursal Centro,Cliente Frecuente,4423,5,10,Pan
2022-01-04,Bebidas,Sucursal Centro,Mayorista,877,36,20,Refrescos
2026-11-22,Limpieza,Sucursal Norte,Cliente Ocasional,4817,12,20,Esponjas
2023-11-08,Bebidas,Sucursal Centro,Cliente Frecuente,2302,7,0,Jugos
2032-08-05,Alimentos,Sucursal Oeste,Cliente Frecuente,4162,4,20,Frescos
2035-02-03,Carnes,Sucursal Oeste,Cliente Ocasional,3465,43,0,Res
2035-01-18,Panadería,Sucursal Este,Cliente Frecuente,4595,28,10,Galletas
2028-02-12,Bebidas,Sucursal Este,Cliente Frecuente,2234,5,10,Jugos
2025-03-26,Alimentos,Sucursal Centro,Cliente Ocasional,1955,37,0,Enlatados
2030-01-04,Alimentos,Sucursal Sur,Mayorista,347,31,20,Frescos
2024-09-07,Alimentos,Sucursal Oeste,Mayorista,3623,38,0,Congelados
2038-04-04,Bebidas,Sucursal Oeste,Cliente Frecuente,3348,15,20,Café
2029-11-30,Limpieza,Sucursal Este,Cliente Ocasional,1915,47,0,Detergentes
2027-03-10,Alimentos,Sucursal Oeste,Corporativo,1422,36,0,Enlatados
2024-07-21,Lácteos,Sucursal Norte,Corporativo,585,42,10,Yogurt
2029-09-10,Alimentos,Sucursal Centro,Corporativo,2083,34,5,Frescos
2026-02-01,Alimentos,Sucursal Norte,Mayorista,4499,20,20,Congelados
2030-01-03,Bebidas,Sucursal Sur,Cliente Ocasional,1835,31,10,Jugos
2030-01-06,Carnes,Sucursal Norte,Mayorista,589,47,15,Res
2025-01-06,Alimentos,Sucursal Sur,Corporativo,1102,42,15,Congelados
2024-10-20,Limpieza,Sucursal Norte,Corporativo,3512,14,0,Detergentes
2028-12-09,Panadería,Sucursal Norte,Cliente Frecuente,4017,34,20,Pasteles
2029-12-31,Alimentos,Sucursal Oeste,Cliente Ocasional,241,48,10,Frescos
2026-08-18,Limpieza,Sucursal Oeste,Cliente Frecuente,4976,29,20,Detergentes
2034-06-27,Lácteos,Sucursal Este,Cliente Ocasional,4429,9,15,Yogurt
2025-12-13,Bebidas,Sucursal Este,Cliente Ocasional,2903,43,20,Jugos
2028-02-13,Limpieza,Sucursal Norte,Mayorista,1644,16,5,Esponjas
2031-10-15,Panadería,Sucursal Norte,Mayorista,3192,22,10,Pan
2035-03-27,Lácteos,Sucursal Este,Cliente Frecuente,3298,19,10,Leche
2032-11-14,Carnes,Sucursal Centro,Cliente Ocasional,2150,34,0,Pescado
2027-03-26,Carnes,Sucursal Este,Cliente Frecuente,2390,5,5,Pollo
2027-08-28,Limpieza,Sucursal Centro,Mayorista,4457,18,0,Detergentes
2025-10-06,Lácteos,Sucursal Sur,Mayorista,977,36,0,Quesos
2035-05-11,Carnes,Sucursal Este,Cliente Ocasional,3569,12,15,Pescado
2022-10-30,Alimentos,Sucursal Sur,Corporativo,4679,29,20,Congelados
2036-06-09,Alimentos,Sucursal Oeste,Corporativo,1048,35,10,Congelados
2025-08-13,Panadería,Sucursal Norte,Cliente Ocasional,4441,48,15,Galletas
2027-03-16,Carnes,Sucursal Oeste,Corporativo,2790,36,10,Pollo
2022-05-02,Bebidas,Sucursal Este,Cliente Frecuente,4442,23,5,Café
2029-03-25,Bebidas,Sucursal Centro,Corporativo,228,24,10,Jugos
2023-10-15,Limpieza,Sucursal Este,Cliente Ocasional,1496,40,20,Desinfectantes
2028-03-01,Panadería,Sucursal Norte,Mayorista,1011,48,20,Galletas
2023-07-03,Lácteos,Sucursal Oeste,Cliente Ocasional,3797,18,0,Quesos
2033-05-03,Alimentos,Sucursal Centro,Cliente Ocasional,2435,32,20,Enlatados
2028-09-08,Lácteos,Sucursal Centro,Cliente Ocasional,4165,36,20,Quesos
2032-10-26,Lácteos,Sucursal Este,Cliente Frecuente,2330,12,0,Quesos
2036-05-27,Alimentos,Sucursal Centro,Cliente Frecuente,588,16,15,Congelados
2034-10-07,Panadería,Sucursal Norte,Corporativo,3009,43,5,Pan
2037-07-28,Carnes,Sucursal Este,Cliente Frecuente,3814,23,5,Pescado
2024-02-26,Bebidas,Sucursal Sur,Corporativo,3804,14,0,Jugos
2032-11-12,Carnes,Sucursal Este,Cliente Frecuente,243,38,15,Cerdo
2038-05-02,Lácteos,Sucursal Norte,Mayorista,4972,16,0,Quesos
2031-06-03,Limpieza,Sucursal Centro,Cliente Ocasional,1592,48,10,Esponjas
2028-01-12,Carnes,Sucursal Centro,Cliente Ocasional,1546,5,5,Cerdo
2022-06-08,Alimentos,Sucursal Oeste,Mayorista,4502,44,15,Frescos
2023-05-04,Bebidas,Sucursal Oeste,Corporativo,2770,28,0,Refrescos
2026-10-10,Carnes,Sucursal Este,Corporativo,3512,14,5,Cerdo
2028-04-22,Panadería,Sucursal Centro,Cliente Ocasional,2160,27,20,Pasteles
2029-07-07,Lácteos,Sucursal Norte,Cliente Ocasional,896,3,15,Leche
2025-02-07,Limpieza,Sucursal Centro,Mayorista,4664,41,5,Desinfectantes
2037-11-11,Bebidas,Sucursal Este,Corporativo,2894,26,5,Refrescos
2027-12-22,Panadería,Sucursal Sur,Cliente Ocasional,3967,20,20,Galletas
2034-08-16,Bebidas,Sucursal Sur,Cliente Ocasional,2410,1,20,Refrescos
2037-05-03,Lácteos,Sucursal Centro,Corporativo,4195,46,0,Leche
2023-06-07,Lácteos,Sucursal Centro,Corporativo,1759,19,5,Leche
2038-03-06,Alimentos,Sucursal Sur,Mayorista,4790,10,10,Frescos
2022-08-19,Panadería,Sucursal Sur,Mayorista,4536,25,0,Pan
2026-01-07,Bebidas,Sucursal Sur,Cliente Ocasional,2174,25,10,Café
2037-01-03,Limpieza,Sucursal Oeste,Mayorista,930,4,5,Desinfectantes
2036-03-09,Limpieza,Sucursal Este,Corporativo,1700,21,15,Esponjas
2027-09-03,Lácteos,Sucursal Norte,Mayorista,4810,45,10,Yogurt
2023-11-18,Panadería,Sucursal Este,Corporativo,3361,9,0,Pasteles
2026-05-10,Alimentos,Sucursal Este,Mayorista,2857,33,10,Frescos
2028-05-28,Carnes,Sucursal Centro,Cliente Frecuente,4587,29,5,Cerdo
2037-02-24,Bebidas,Sucursal Centro,Cliente Frecuente,2012,16,0,Té
2025-09-01,Lácteos,Sucursal Norte,Mayorista,1096,38,20,Yogurt
2037-03-25,Lácteos,Sucursal Oeste,Corporativo,3041,21,0,Yogurt
2035-05-23,Limpieza,Sucursal Este,Cliente Ocasional,3342,34,15,Detergentes
2030-05-31,Panadería,Sucursal Norte,Mayorista,4768,5,20,Pasteles
2035-03-16,Limpieza,Sucursal Norte,Cliente Frecuente,2295,5,10,Desinfectantes
2029-03-15,Limpieza,Sucursal Norte,Corporativo,1334,33,10,Detergentes
2028-11-28,Limpieza,Sucursal Sur,Cliente Frecuente,2945,5,5,Esponjas
2033-12-31,Bebidas,Sucursal Este,Cliente Ocasional,3840,32,0,Té
2034-07-18,Bebidas,Sucursal Centro,Corporativo,1384,41,15,Refrescos
2036-07-20,Panadería,Sucursal Oeste,Cliente Frecuente,4408,9,5,Pan
2032-02-22,Lácteos,Sucursal Sur,Cliente Frecuente,1685,19,0,Leche
2035-09-18,Limpieza,Sucursal Oeste,Cliente Frecuente,1868,27,15,Desinfectantes
2028-06-04,Panadería,Sucursal Centro,Cliente Ocasional,1149,38,10,Galletas
2028-11-20,Limpieza,Sucursal Norte,Mayorista,1254,49,0,Esponjas
2030-06-30,Panadería,Sucursal Este,Mayorista,1876,12,20,Pan
2029-01-12,Panadería,Sucursal Oeste,Mayorista,3581,47,20,Pasteles
2023-09-28,Alimentos,Sucursal Oeste,Cliente Ocasional,4110,39,0,Congelados
2026-01-08,Carnes,Sucursal Norte,Corporativo,399,14,15,Res
2034-04-06,Limpieza,Sucursal Oeste,Mayorista,4380,33,0,Esponjas
2028-11-23,Panadería,Sucursal Sur,Corporativo,456,13,20,Pasteles
2022-03-29,Lácteos,Sucursal Sur,Mayorista,4492,26,5,Quesos
2027-11-12,Carnes,Sucursal Oeste,Cliente Frecuente,656,40,20,Res
2036-01-28,Panadería,Sucursal Este,Mayorista,4848,1,15,Pan
2027-12-04,Lácteos,Sucursal Centro,Corporativo,1757,44,5,Leche
2027-04-27,Lácteos,Sucursal Oeste,Cliente Frecuente,3738,3,5,Leche
2026-07-04,Carnes,Sucursal Oeste,Cliente Ocasional,292,42,15,Pollo
2030-04-02,Alimentos,Sucursal Oeste,Cliente Frecuente,3106,26,15,Frescos
2029-07-11,Carnes,Sucursal Este,Cliente Frecuente,1769,42,15,Cerdo
2032-03-20,Lácteos,Sucursal Este,Corporativo,2138,24,5,Quesos
2033-04-03,Carnes,Sucursal Oeste,Mayorista,755,4,0,Res
2030-07-19,Bebidas,Sucursal Este,Corporativo,3743,45,5,Jugos
2035-06-22,Alimentos,Sucursal Norte,Corporativo,4811,24,5,Frescos
2038-02-01,Lácteos,Sucursal Norte,Mayorista,1762,14,10,Quesos
2031-02-01,Lácteos,Sucursal Oeste,Cliente Ocasional,1759,2,5,Yogurt
2037-09-01,Limpieza,Sucursal Este,Mayorista,4213,22,15,Desinfectantes
2022-02-04,Carnes,Sucursal Norte,Mayorista,1850,22,20,Pescado
2026-08-12,Alimentos,Sucursal Sur,Corporativo,473,18,15,Frescos
2037-03-25,Limpieza,Sucursal Oeste,Cliente Frecuente,247,11,5,Desinfectantes
2028-08-04,Lácteos,Sucursal Oeste,Cliente Frecuente,2046,40,20,Quesos
2033-01-02,Panadería,Sucursal Norte,Mayorista,1130,35,0,Galletas
2026-10-16,Alimentos,Sucursal Oeste,Cliente Ocasional,857,16,0,Enlatados
2023-12-10,Panadería,Sucursal Norte,Cliente Ocasional,3092,46,5,Galletas
2034-02-03,Limpieza,Sucursal Este,Cliente Frecuente,2887,22,20,Detergentes
2036-07-02,Alimentos,Sucursal Este,Mayorista,2355,19,10,Congelados
2031-02-13,Lácteos,Sucursal Oeste,Cliente Ocasional,4410,46,0,Yogurt
2029-11-16,Carnes,Sucursal Norte,Cliente Frecuente,906,21,20,Pescado
2030-09-21,Lácteos,Sucursal Centro,Cliente Frecuente,1094,9,20,Leche
2036-12-30,Alimentos,Sucursal Oeste,Cliente Ocasional,447,41,20,Congelados
2031-12-17,Alimentos,Sucursal Oeste,Mayorista,4108,16,0,Frescos
2028-04-28,Panadería,Sucursal Centro,Corporativo,412,29,20,Pasteles
2032-11-01,Limpieza,Sucursal Centro,Corporativo,213,45,20,Detergentes
2036-04-01,Limpieza,Sucursal Oeste,Cliente Frecuente,2608,5,10,Desinfectantes
2036-11-09,Limpieza,Sucursal Este,Corporativo,295,37,10,Detergentes
2030-08-28,Carnes,Sucursal Centro,Corporativo,3659,31,10,Pollo
2024-10-23,Carnes,Sucursal Sur,Corporativo,2626,3,20,Pollo
2028-06-07,Bebidas,Sucursal Este,Cliente Frecuente,3729,45,20,Té
2027-12-25,Carnes,Sucursal Norte,Cliente Frecuente,4646,38,0,Pescado
2024-11-27,Limpieza,Sucursal Norte,Cliente Ocasional,3658,32,20,Detergentes
2034-05-18,Carnes,Sucursal Sur,Mayorista,4634,49,10,Res
2025-09-22,Carnes,Sucursal Centro,Cliente Ocasional,2316,6,15,Pescado
2033-02-04,Alimentos,Sucursal Centro,Cliente Ocasional,4991,23,10,Enlatados
2033-07-23,Carnes,Sucursal Centro,Corporativo,3854,40,5,Pescado
2034-07-01,Panadería,Sucursal Sur,Mayorista,3461,5,15,Pasteles
2030-09-14,Limpieza,Sucursal Este,Mayorista,2569,3,20,Esponjas
2027-01-07,Lácteos,Sucursal Norte,Mayorista,3132,16,20,Leche
2032-08-28,Carnes,Sucursal Oeste,Cliente Ocasional,1509,9,20,Pollo
2024-01-08,Lácteos,Sucursal Centro,Cliente Frecuente,4570,33,10,Yogurt
2030-01-17,Bebidas,Sucursal Oeste,Cliente Ocasional,2179,47,5,Refrescos
2035-08-24,Bebidas,Sucursal Centro,Mayorista,1858,28,10,Refrescos
2030-09-20,Limpieza,Sucursal Sur,Mayorista,2832,19,0,Desinfectantes
2037-01-14,Bebidas,Sucursal Oeste,Cliente Ocasional,736,10,20,Jugos
2022-10-05,Alimentos,Sucursal Centro,Corporativo,1564,29,0,Congelados
2031-09-14,Panadería,Sucursal Centro,Corporativo,2308,2,5,Pasteles
2027-09-22,Lácteos,Sucursal Este,Corporativo,2377,19,10,Quesos
2023-03-09,Limpieza,Sucursal Norte,Corporativo,2115,29,5,Desinfectantes
2025-03-26,Carnes,Sucursal Norte,Cliente Ocasional,2066,46,0,Cerdo
2028-11-23,Bebidas,Sucursal Sur,Cliente Frecuente,2030,8,15,Jugos
2036-03-04,Limpieza,Sucursal Oeste,Corporativo,2932,45,10,Detergentes
2031-07-19,Alimentos,Sucursal Sur,Cliente Frecuente,757,30,20,Congelados
2037-09-30,Lácteos,Sucursal Este,Cliente Ocasional,1373,4,5,Leche
2027-05-28,Alimentos,Sucursal Oeste,Cliente Frecuente,3389,45,0,Frescos
2037-08-29,Limpieza,Sucursal Oeste,Cliente Ocasional,339,24,10,Detergentes
2036-10-29,Lácteos,Sucursal Norte,Mayorista,2695,40,5,Quesos
2023-04-27,Bebidas,Sucursal Oeste,Corporativo,1990,5,15,Refrescos
2029-04-16,Alimentos,Sucursal Oeste,Mayorista,4081,14,10,Congelados
2027-10-29,Carnes,Sucursal Este,Mayorista,2929,39,5,Pollo
2033-09-28,Bebidas,Sucursal Este,Corporativo,3376,34,5,Jugos
2029-01-25,Lácteos,Sucursal Oeste,Corporativo,2688,19,20,Yogurt
2034-04-21,Alimentos,Sucursal Oeste,Mayorista,445,23,5,Frescos
2037-05-04,Limpieza,Sucursal Sur,Cliente Frecuente,2827,5,10,Esponjas
2024-02-21,Alimentos,Sucursal Centro,Cliente Frecuente,2998,2,10,Frescos
2034-03-24,Panadería,Sucursal Centro,Cliente Frecuente,4786,38,0,Pasteles
2025-04-25,Carnes,Sucursal Norte,Cliente Frecuente,3150,16,15,Cerdo
2026-01-14,Bebidas,Sucursal Norte,Cliente Ocasional,2975,47,5,Té
2025-06-28,Limpieza,Sucursal Sur,Corporativo,90,8,0,Desinfectantes
2028-04-13,Alimentos,Sucursal Oeste,Cliente Ocasional,4498,48,5,Frescos
2032-09-19,Bebidas,Sucursal Oeste,Mayorista,1713,27,10,Refrescos
2033-02-12,Alimentos,Sucursal Centro,Corporativo,1688,6,20,Enlatados
2031-04-17,Panadería,Sucursal Norte,Cliente Ocasional,2597,30,0,Pasteles
2022-11-09,Lácteos,Sucursal Este,Corporativo,1117,8,10,Yogurt
2029-11-19,Alimentos,Sucursal Sur,Corporativo,2948,38,20,Enlatados
2035-04-21,Lácteos,Sucursal Norte,Corporativo,3695,27,10,Leche
2024-11-13,Bebidas,Sucursal Este,Corporativo,1597,39,0,Té
2029-12-22,Bebidas,Sucursal Este,Cliente Ocasional,332,9,5,Café
2023-10-20,Lácteos,Sucursal Sur,Mayorista,2534,28,10,Leche
2025-10-15,Panadería,Sucursal Centro,Cliente Frecuente,2168,42,20,Pan
2033-04-09,Panadería,Sucursal Oeste,Cliente Frecuente,4095,20,15,Pan
2023-12-27,Lácteos,Sucursal Sur,Cliente Ocasional,716,21,5,Quesos
2027-06-26,Bebidas,Sucursal Este,Mayorista,2247,2,0,Refrescos
2037-08-07,Limpieza,Sucursal Sur,Mayorista,4093,28,5,Desinfectantes
2026-10-11,Alimentos,Sucursal Este,Cliente Ocasional,4133,15,15,Congelados
2028-12-10,Alimentos,Sucursal Norte,Corporativo,3304,17,15,Congelados
2030-09-22,Bebidas,Sucursal Sur,Cliente Frecuente,4252,10,20,Jugos
2022-02-24,Alimentos,Sucursal Este,Mayorista,1468,33,20,Frescos
2023-12-04,Bebidas,Sucursal Norte,Cliente Frecuente,3979,14,5,Café
2033-01-18,Lácteos,Sucursal Sur,Cliente Ocasional,2047,10,5,Quesos
2036-03-21,Bebidas,Sucursal Este,Cliente Ocasional,3312,18,5,Jugos
2025-08-15,Alimentos,Sucursal Este,Cliente Ocasional,4425,32,20,Congelados
2032-11-25,Alimentos,Sucursal Sur,Cliente Ocasional,1757,6,5,Congelados
2030-08-16,Carnes,Sucursal Centro,Mayorista,1111,37,5,Res
2030-02-17,Panadería,Sucursal Este,Mayorista,4021,16,10,Galletas
2024-02-18,Alimentos,Sucursal Centro,Cliente Frecuente,4947,10,20,Frescos
2023-08-24,Lácteos,Sucursal Este,Cliente Ocasional,1518,49,10,Leche
2034-07-11,Alimentos,Sucursal Sur,Mayorista,249,25,10,Congelados
2027-05-05,Panadería,Sucursal Oeste,Cliente Ocasional,3060,38,5,Pan
2038-03-28,Alimentos,Sucursal Norte,Mayorista,4223,22,0,Enlatados
2031-10-18,Limpieza,Sucursal Centro,Cliente Ocasional,1700,47,10,Esponjas
2025-09-30,Alimentos,Sucursal Oeste,Cliente Frecuente,4678,2,20,Enlatados
2028-01-16,Panadería,Sucursal Norte,Cliente Frecuente,727,10,0,Pan
2030-08-25,Lácteos,Sucursal Este,Cliente Ocasional,1185,25,5,Quesos
2026-09-02,Carnes,Sucursal Sur,Corporativo,723,12,15,Res
2032-03-14,Lácteos,Sucursal Este,Mayorista,2405,5,20,Yogurt
2029-02-22,Lácteos,Sucursal Oeste,Mayorista,2603,29,0,Quesos
2031-02-27,Lácteos,Sucursal Norte,Corporativo,1382,14,5,Yogurt
2034-02-08,Panadería,Sucursal Norte,Cliente Ocasional,66,18,15,Pasteles
2022-09-18,Panadería,Sucursal Sur,Cliente Ocasional,1583,3,15,Pan
2027-02-18,Alimentos,Sucursal Oeste,Corporativo,3025,7,20,Enlatados
2036-04-18,Alimentos,Sucursal Centro,Cliente Ocasional,3241,7,0,Enlatados
2022-11-28,Bebidas,Sucursal Este,Corporativo,4888,31,5,Café
2022-07-11,Alimentos,Sucursal Oeste,Cliente Frecuente,167,6,0,Congelados
2033-06-27,Limpieza,Sucursal Sur,Cliente Frecuente,1899,30,20,Desinfectantes
2031-09-12,Limpieza,Sucursal Sur,Mayorista,3149,49,0,Esponjas
2025-05-13,Alimentos,Sucursal Centro,Mayorista,3297,20,10,Frescos
2024-10-02,Alimentos,Sucursal Centro,Mayorista,3636,11,5,Frescos
2026-01-25,Limpieza,Sucursal Oeste,Cliente Ocasional,461,26,10,Desinfectantes
2027-10-19,Bebidas,Sucursal Este,Cliente Ocasional,3559,10,10,Refrescos
2023-02-18,Bebidas,Sucursal Norte,Mayorista,2159,37,15,Refrescos
2026-07-13,Alimentos,Sucursal Norte,Cliente Ocasional,2093,43,5,Enlatados
2033-05-25,Panadería,Sucursal Oeste,Corporativo,4621,4,15,Pasteles
2025-07-12,Carnes,Sucursal Este,Corporativo,4724,11,20,Cerdo
2032-11-26,Bebidas,Sucursal Norte,Cliente Ocasional,4973,31,20,Refrescos
2027-08-17,Alimentos,Sucursal Centro,Cliente Ocasional,4965,48,20,Frescos
2030-07-01,Bebidas,Sucursal Sur,Cliente Ocasional,3305,45,10,Té
2036-04-12,Limpieza,Sucursal Este,Cliente Ocasional,3007,6,20,Desinfectantes
2027-12-02,Panadería,Sucursal Oeste,Mayorista,699,33,20,Galletas
2038-02-21,Limpieza,Sucursal Centro,Corporativo,2992,20,5,Detergentes
2022-10-10,Limpieza,Sucursal Sur,Cliente Frecuente,4450,24,15,Detergentes
2038-05-03,Alimentos,Sucursal Este,Corporativo,1230,2,10,Congelados
2033-10-03,Alimentos,Sucursal Sur,Cliente Ocasional,2000,48,0,Enlatados
2036-07-02,Limpieza,Sucursal Oeste,Mayorista,3708,6,15,Esponjas
2023-09-27,Lácteos,Sucursal Oeste,Mayorista,3644,28,10,Yogurt
2035-10-04,Carnes,Sucursal Este,Mayorista,3920,8,0,Res
2033-10-18,Lácteos,Sucursal Sur,Mayorista,2476,19,10,Leche
2023-01-08,Panadería,Sucursal Este,Mayorista,4629,33,5,Galletas
2023-10-26,Limpieza,Sucursal Oeste,Cliente Ocasional,656,35,15,Detergentes
2031-11-16,Lácteos,Sucursal Este,Cliente Frecuente,217,39,10,Yogurt
2033-02-23,Carnes,Sucursal Oeste,Cliente Ocasional,3620,12,5,Res
2026-02-19,Carnes,Sucursal Centro,Mayorista,3036,9,10,Pescado
2034-09-06,Carnes,Sucursal Sur,Mayorista,2827,8,0,Res
2034-10-14,Carnes,Sucursal Oeste,Corporativo,1706,13,20,Cerdo
2034-01-10,Lácteos,Sucursal Oeste,Cliente Ocasional,4087,46,5,Yogurt
2026-03-12,Alimentos,Sucursal Centro,Corporativo,2712,49,5,Enlatados
2037-01-04,Bebidas,Sucursal Centro,Cliente Ocasional,602,6,15,Refrescos
2024-10-23,Limpieza,Sucursal Este,Mayorista,1595,9,15,Desinfectantes
2027-03-18,Limpieza,Sucursal Oeste,Cliente Frecuente,4172,49,10,Desinfectantes
2031-05-06,Carnes,Sucursal Sur,Cliente Ocasional,782,27,15,Res
2035-05-16,Carnes,Sucursal Sur,Mayorista,4323,30,5,Cerdo
2027-05-02,Carnes,Sucursal Sur,Cliente Frecuente,4845,33,0,Pollo
2024-02-12,Alimentos,Sucursal Centro,Corporativo,2892,46,0,Frescos
2026-08-07,Carnes,Sucursal Norte,Mayorista,1349,39,20,Cerdo
2024-09-13,Limpieza,Sucursal Este,Corporativo,295,18,10,Desinfectantes
2037-06-25,Carnes,Sucursal Norte,Cliente Frecuente,1233,47,0,Pescado
2026-06-20,Lácteos,Sucursal Sur,Corporativo,4075,48,0,Yogurt
2037-06-08,Lácteos,Sucursal Este,Cliente Ocasional,721,1,5,Leche
2025-03-04,Panadería,Sucursal Este,Cliente Ocasional,3384,43,0,Pan
2035-03-08,Limpieza,Sucursal Sur,Mayorista,1053,25,5,Esponjas
2037-12-09,Bebidas,Sucursal Sur,Mayorista,1703,10,20,Café
2028-04-12,Lácteos,Sucursal Sur,Corporativo,3209,43,15,Yogurt
2028-06-02,Carnes,Sucursal Centro,Cliente Ocasional,3398,31,20,Res
2028-06-07,Lácteos,Sucursal Centro,Corporativo,2337,16,5,Yogurt
2036-12-07,Lácteos,Sucursal Norte,Cliente Frecuente,4957,20,10,Yogurt
2032-11-14,Limpieza,Sucursal Oeste,Cliente Frecuente,376,8,10,Esponjas
2035-12-28,Panadería,Sucursal Sur,Cliente Frecuente,3946,42,10,Pasteles
2030-03-14,Bebidas,Sucursal Norte,Mayorista,730,4,20,Jugos
2033-03-26,Carnes,Sucursal Oeste,Corporativo,4669,48,5,Cerdo
2034-07-23,Lácteos,Sucursal Centro,Mayorista,2197,31,5,Leche
2033-02-17,Limpieza,Sucursal Este,Corporativo,3694,47,0,Esponjas
2022-03-11,Carnes,Sucursal Oeste,Corporativo,1166,39,15,Cerdo
2027-01-30,Limpieza,Sucursal Oeste,Cliente Ocasional,1361,12,10,Esponjas
2022-01-30,Bebidas,Sucursal Oeste,Cliente Frecuente,4659,31,15,Refrescos
2027-02-13,Bebidas,Sucursal Sur,Cliente Ocasional,431,7,5,Té
2022-11-03,Alimentos,Sucursal Norte,Mayorista,304,1,20,Frescos
2034-12-08,Alimentos,Sucursal Oeste,Mayorista,2132,39,5,Congelados
2031-03-25,Panadería,Sucursal Centro,Corporativo,4915,34,20,Pan
2025-02-17,Lácteos,Sucursal Norte,Mayorista,1792,41,0,Leche
2028-05-15,Carnes,Sucursal Sur,Cliente Frecuente,2108,41,20,Cerdo
2024-08-09,Lácteos,Sucursal Este,Mayorista,3567,3,5,Leche
2022-06-04,Alimentos,Sucursal Oeste,Cliente Ocasional,2709,46,10,Congelados
2030-01-26,Alimentos,Sucursal Oeste,Corporativo,761,23,20,Enlatados
2030-12-20,Lácteos,Sucursal Sur,Corporativo,2982,27,20,Quesos
2027-02-14,Limpieza,Sucursal Este,Mayorista,2728,44,15,Esponjas
2030-11-07,Alimentos,Sucursal Oeste,Mayorista,4990,21,15,Frescos
